title,行驶距离(万公里),year,上牌时间,年检到期,保险到期,price,车辆级别,车身颜色,驱动方式,出厂日期
揽胜 2020款 3.0 L6 传世加长版,5, 2020,2020-09,2024-09,2023-09,128.9,中大型SUV,黑色,前置四驱, 2020 
奥迪A3 2019款 Sportback 35 TFSI 时尚型 国VI,6.99, 2019,2019-07,2023-07,2023-07,11.98,紧凑型车,白色,前置前驱, 2019 
发现 2021款 300PS S,1.29, 2022,2022-09,2024-09,2023-09,56.2,中大型SUV,黑色,前置四驱, 2022 
奥迪A7 2021款 45 TFSI 臻选型,1.98, 2022,2022-01,2024-01,2023-05,50.9,中大型车,蓝色,前置前驱, 2022 
Panamera 2021款 Panamera 行政加长版 2.9T,1.5, 2021,2021-11,2023-11,2023-11,116.0,大型车,银/灰色,前置后驱, 2021 
揽胜运动版 2020款 3.0 L6 HSE DYNAMIC,4.9, 2020,2020-07,2024-07,2023-07,74.5,中大型SUV,黑色,前置四驱, 2020 
高合HiPhi X 2021款 旗舰版6座,1.54, 2022,2022-01,2024-01,2024-01,47.9,中大型SUV,红/紫色,双电机四驱, 2022 
保时捷718 2022款 Boxster 2.0T,0.53, 2022,2022-01,2024-01,2024-01,64.8,跑车,黄/橙色,中置后驱, 2022 
奔驰S级 2022款 S 450 L 4MATIC,1.75, 2022,2022-01,2024-01,2024-01,113.9,大型车,黑色,前置四驱, 2022 
奔驰S级 2022款 S 450 L 4MATIC,0.42, 2022,2022-03,2024-03,2024-03,115.8,大型车,黑色,前置四驱, 2022 
途锐 2021款 2.0TSI 领航特别版,2.7, 2021,2021-02,2025-02,2024-02,41.2,中大型SUV,黑色,前置四驱, 2021 
发现 2021款 360PS R-Dynamic S,2.37, 2022,2022-02,2024-02,2024-02,63.5,中大型SUV,黑色,前置四驱, 2022 
高合HiPhi X 2021款 旗舰版6座,0.97, 2022,2022-05,2024-05,2023-05,50.9,中大型SUV,红/紫色,双电机四驱, 2022 
奥迪A8 2021款 A8L 50 TFSI quattro 舒适型,2.33, 2021,2021-05,2023-05,2023-05,62.9,大型车,黑色,前置四驱, 2021 
奔驰S级 2022款 S 400 L 商务型,0.94, 2022,2022-07,2024-07,2023-07,87.9,大型车,黑色,前置后驱, 2022 
发现 2020款 3.0 SC V6 30周年特别版,2.29, 2021,2021-05,2023-05,2023-05,55.9,中大型SUV,黑色,前置四驱, 2021 
奔驰S级 2022款 S 450 L 4MATIC,0.73, 2022,2022-01,2024-01,2024-01,115.9,大型车,黑色,前置四驱, 2022 
路虎卫士 2020款 110 P400 暗黑特别版,3.8, 2021,2021-01,2025-01,2024-01,81.8,中大型SUV,银/灰色,前置四驱, 2021 
雷克萨斯LS 2021款 500h 行政版,0.77, 2022,2022-09,2024-09,2023-09,89.9,大型车,黑色,前置后驱, 2022 
宝马X5进口 2021款 xDrive40i M运动套装,3.84, 2021,2021-06,2023-06,2023-06,65.8,中大型SUV,白色,前置四驱, 2021 
揽胜运动版 2020款 3.0 L6 HSE DYNAMIC,3.78, 2020,2020-01,2024-01,2024-01,74.8,中大型SUV,白色,前置四驱, 2020 
领航员 2020款 3.5T 长轴总统版,3.6, 2020,2020-08,2024-08,2023-08,88.8,大型SUV,黑色,前置四驱, 2020 
奔驰CLS 2022款 CLS 300 动感型,1.14, 2022,2022-04,2024-04,2023-04,54.9,中大型车,白色,前置后驱, 2022 
宝马X5进口 2022款 xDrive30i M运动套装,1.44, 2022,2022-04,2024-04,2024-03,62.9,中大型SUV,黑色,前置四驱, 2022 
揽胜运动版 2021款 3.0 L6 耀黑版,1.84, 2021,2021-05,2023-05,2023-05,79.9,中大型SUV,银/灰色,前置四驱, 2021 
宝马X5进口 2020款 xDrive40i M运动套装,3.2, 2020,2020-06,2024-06,2023-06,61.8,中大型SUV,白色,前置四驱, 2020 
揽胜运动版 2021款 3.0 L6 耀黑版,2.86, 2021,2021-03,2023-03,2023-03,81.9,中大型SUV,白色,前置四驱, 2021 
Panamera 2021款 Panamera 2.9T,1.33, 2021,2021-04,2023-04,2023-04,107.0,大型车,蓝色,前置后驱, 2021 
揽胜 2021款 3.0 L6 传世版,2.74, 2021,2021-06,2023-06,2023-05,122.8,中大型SUV,白色,前置四驱, 2021 
宝马X7 2021款 xDrive40i 领先型豪华套装,2.3, 2021,2021-07,2023-07,2023-07,85.8,大型SUV,黑色,前置四驱, 2021 
宝马5系 2022款 改款 530Li 领先型 M运动套装,0.89, 2022,2022-06,2024-06,2023-06,40.9,中大型车,白色,前置后驱, 2022 
发现运动版 2020款 249PS R-Dynamic 性能版,3.49, 2021,2021-01,2025-01,2024-01,22.98,中型SUV,白色,前置四驱, 2021 
奥迪A7 2020款 45 TFSI 臻选型,2.75, 2020,2020-08,2024-08,2023-08,46.4,中大型车,白色,前置前驱, 2020 
奥迪A4L 2022款 40 TFSI 豪华动感型,1.07, 2022,2022-02,2024-02,2024-02,26.5,中型车,白色,前置前驱, 2022 
长安UNI-T 2020款 1.5T 尊贵型,2.09, 2021,2021-05,2025-05,2023-05,9.58,紧凑型SUV,白色,前置前驱, 2021 
智跑 2019款 2.0L 自动智享豪华版,7.09, 2020,2020-07,2024-07,2023-07,9.58,紧凑型SUV,白色,前置前驱, 2020 
捷达VS7 2020款 1.4T 自动悦享型,3.99, 2020,2020-08,2024-08,2023-07,8.76,中型SUV,银/灰色,前置前驱, 2020 
长安CS75 PLUS 2020款 2.0T 自动旗舰型,2.37, 2020,2020-01,2024-01,2023-12,10.45,紧凑型SUV,白色,前置前驱, 2020 
长安CS75 PLUS 2021款 2.0T 自动旗舰型,2.69, 2021,2021-05,2025-05,2023-05,11.19,紧凑型SUV,银/灰色,前置前驱, 2021 
北京现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国V,9.6, 2019,2019-05,2025-05,2023-05,7.89,紧凑型SUV,白色,前置前驱, 2019 
摩卡 2021款 2.0T 四驱特醇版,1.01, 2021,2021-05,2024-05,2024-06,15.58,中型SUV,白色,前置四驱, 2021 
荣威RX5 2018款 20T 两驱自动旗舰版,3.78, 2018,2018-03,2024-03,2024-03,6.28,紧凑型SUV,白色,前置前驱, 2018 
长安CS55PLUS 2022款 第二代 1.5T DCT领航型,2.3, 2021,2021-08,2025-08,2023-08,8.88,紧凑型SUV,白色,前置前驱, 2021 
马自达CX-4 2021款 2.0L 自动两驱蓝天探索版,1.9, 2021,2021-03,2025-03,2024-01,11.18,紧凑型SUV,银/灰色,前置前驱, 2021 
长安CS75 2017款 尚酷版 1.5T 自动锋悦型,4.53, 2017,2017-09,2023-09,2023-09,5.68,紧凑型SUV,白色,前置前驱, 2017 
马自达CX-4 2018款 2.0L 自动两驱蓝天领先版 国VI,4.08, 2019,2019-05,2025-05,2024-05,10.09,紧凑型SUV,白色,前置前驱, 2019 
途胜 2015款 1.6T 双离合两驱智能型,12.19, 2016,2016-01,2024-01,2024-01,6.89,紧凑型SUV,白色,前置前驱, 2016 
北京现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,13.01, 2014,2014-08,2023-08,2023-07,5.19,紧凑型SUV,白色,前置前驱, 2014 
长安CS35 2015款 1.6L 自动豪华型 国IV,7.35, 2016,2016-01,2024-01,2023-12,3.69,小型SUV,白色,前置前驱, 2016 
马自达CX-3 2018款 2.0L 自动尊贵型,2.94, 2018,2018-07,2024-07,2023-07,8.18,小型SUV,红/紫色,前置前驱, 2018 
沃尔沃XC90 2021款 B5 智行豪华版 5座,5.1, 2021,2021-01,2025-01,2024-01,41.8,中大型SUV,黑色,前置四驱, 2021 
领克01 2021款 2.0TD 四驱劲Halo,3.5, 2021,2021-06,2023-06,2023-06,14.68,紧凑型SUV,白色,前置四驱, 2021 
宋MAX新能源 2019款 DM 1.5T 智联致进型 6座 国VI,4.39, 2020,2020-04,2024-04,2024-04,9.98,小型SUV,白色,前置前驱, 2020 
途观L新能源 2022款 430PHEV 插电混动旗舰版,0.09, 2021,2021-09,2023-09,2023-09,18.18,中型SUV,银/灰色,前置前驱, 2021 
朗逸 2021款 280TSI DSG豪华版,2.55, 2021,2021-01,2025-01,2023-11,10.78,紧凑型车,白色,前置前驱, 2021 
帕萨特 2017款 330TSI DSG御尊版,5.64, 2018,2018-02,2024-02,2024-02,12.18,中型车,黑色,前置前驱, 2018 
奔驰GLC 2016款 GLC 260 4MATIC 豪华型,5.71, 2016,2016-08,2024-08,2023-08,22.15,中型SUV,银/灰色,前置四驱, 2016 
奥迪Q2L 2018款 35 TFSI 时尚动感型 国VI,3.77, 2019,2019-11,2023-11,2023-11,12.35,小型SUV,黄/橙色,前置前驱, 2019 
奔驰A级 2020款 A 180 L 运动轿车,4.35, 2020,2020-05,2024-05,2024-05,14.98,紧凑型车,白色,前置前驱, 2020 
欧蓝德 2023款 1.5T CVT四驱尊耀版 7座,0.27, 2022,2022-12,2024-12,2023-12,18.58,紧凑型SUV,白色,前置四驱, 2022 
奔驰GLA 2015款 GLA 200 时尚型,9.47, 2015,2015-12,2023-12,2023-12,10.68,紧凑型SUV,银/灰色,前置前驱, 2015 
途铠 2020款 280TSI DSG豪华版,5.32, 2020,2020-06,2024-06,2023-06,9.68,小型SUV,白色,前置前驱, 2020 
自由侠 2016款 1.4T 自动劲能版,7.96, 2017,2017-02,2025-02,2024-02,6.18,小型SUV,银/灰色,前置前驱, 2017 
昕锐 2019款 1.5L 自动舒适版 国V,4.8, 2020,2020-04,2024-04,2024-05,6.18,紧凑型车,白色,前置前驱, 2020 
高尔夫 2020款 挚爱版 280TSI DSG R-Line,6.4, 2020,2020-06,2024-06,2023-06,12.38,紧凑型车,白色,前置前驱, 2020 
高尔夫 2019款 280TSI DSG舒适型 国V,5, 2019,2019-07,2023-07,2023-07,9.98,紧凑型车,白色,前置前驱, 2019 
朗逸 2019款 1.5L 自动舒适版 国VI,6.2, 2019,2019-12,2023-12,2023-12,8.98,紧凑型车,白色,前置前驱, 2019 
长安CS35PLUS 2019款 1.6L 自动畅联版,4.4, 2020,2020-08,2024-08,2023-08,7.28,小型SUV,白色,前置前驱, 2020 
英朗 2019款 18T 自动互联精英型 国VI,6.5, 2020,2020-01,2024-01,2024-01,6.98,紧凑型车,白色,前置前驱, 2020 
缤越 2021款 1.4T DCT钻石版,1.5, 2022,2022-03,2024-03,2023-03,8.48,小型SUV,红/紫色,前置前驱, 2022 
沃兰多 2020款 轻混 Redline 530T 自动纵享版（5+2款）,1.4, 2020,2020-07,2024-07,2023-07,9.48,紧凑型车,银/灰色,前置前驱, 2020 
奥迪A6L 2019款 40 TFSI 豪华致雅型,7.5, 2019,2019-11,2023-11,2023-11,29.9,中大型车,黑色,前置前驱, 2019 
揽胜星脉 2020款 P250 R-DYNAMIC S,6, 2020,2020-01,2024-01,2024-01,35.88,中型SUV,蓝色,前置四驱, 2020 
别克GL8 2018款 28T 豪华型 国VI,7, 2019,2019-11,2023-11,2023-11,17.38,中大型车,香槟/棕色,前置前驱, 2019 
凯美瑞 2022款 2.0GVP 领先版,0.01, 2023,2023-03,2025-03,2024-03,16.99,中型车,白色,前置前驱, 2023 
福克斯 2015款 两厢 1.6L 自动风尚型,4.2, 2015,2015-12,2023-12,2023-12,5.68,紧凑型车,白色,前置前驱, 2015 
奥迪A3 2018款 30周年年型 Limousine 35 TFSI 风尚型,4.3, 2019,2019-02,2025-02,2024-02,11.5,紧凑型车,红/紫色,前置前驱, 2019 
奥迪A6L 2017款 TFSI 舒适型,11, 2017,2017-08,2023-08,2023-08,18.8,中大型车,香槟/棕色,前置前驱, 2017 
传祺M8 2021款 领秀系列 390T 至尊版,1.25, 2022,2022-06,2024-06,2023-06,21.58,中大型车,白色,前置前驱, 2022 
奥迪A4L 2019款 40 TFSI 进取型 国VI,13.8, 2019,2019-04,2025-04,2024-04,16.2,中型车,白色,前置前驱, 2019 
凯迪拉克CT5 2020款 改款 28T 豪华型,3.1, 2021,2021-01,2025-01,2024-01,20.59,中型车,蓝色,前置后驱, 2021 
小鹏P7 2021款 480N,1.47, 2022,2022-03,2024-03,2024-03,16.39,中型车,银/灰色,后置后驱, 2022 
桑塔纳 2018款 1.5L 自动舒适版,5.05, 2019,2019-01,2025-01,2023-12,5.88,紧凑型车,白色,前置前驱, 2019 
传祺M8 2023款 领秀系列 390T 尊贵版,5.7, 2022,2022-08,2024-08,2023-08,19.2,中大型车,黑色,前置前驱, 2022 
奕泽IZOA 2018款 2.0L 奕驰版 国VI,3.58, 2020,2020-03,2024-03,2024-03,9.89,小型SUV,红/紫色,前置前驱, 2020 
起亚K2 2017款 三厢 1.4L AT 15周年特别版GLS,5.92, 2019,2019-01,2025-01,2023-08,5.18,小型车,白色,前置前驱, 2019 
普拉多(进口) 2018款 4.0L 自动,5.7, 2020,2020-08,2024-08,2023-08,61.38,中大型SUV,白色,前置四驱, 2020 
沃尔沃XC60 2019款 T5 四驱智逸版 国V,6.51, 2018,2018-09,2024-09,2023-09,20.39,中型SUV,香槟/棕色,前置四驱, 2018 
传祺M8 2023款 领秀系列 390T 尊贵版,0.97, 2022,2022-09,2024-09,2023-09,20.5,中大型车,白色,前置前驱, 2022 
缤智 2019款 1.5L CVT先锋版 国VI,5.56, 2019,2019-10,2023-10,2023-10,8.88,小型SUV,白色,前置前驱, 2019 
奥迪A6L 2021款 40 TFSI 豪华致雅型,3.03, 2021,2021-04,2023-04,2023-04,32.68,中大型车,黑色,前置前驱, 2021 
奥迪A6L 2020款 40 TFSI 豪华致雅型,5.45, 2020,2020-03,2024-03,2023-03,30.9,中大型车,黑色,前置前驱, 2020 
奥迪A6L 2022款 45 TFSI quattro 臻选动感型,1.12, 2022,2022-08,2024-08,2023-08,38.68,中大型车,黑色,前置四驱, 2022 
奥迪A6L 2020款 40 TFSI 豪华致雅型,4.05, 2020,2020-04,2024-04,2023-04,31.1,中大型车,黑色,前置前驱, 2020 
奥迪A3 2018款 30周年年型 Limousine 35 TFSI 进取型,4.8, 2018,2018-09,2024-09,2023-09,10.2,紧凑型车,白色,前置前驱, 2018 
明锐 2019款 TSI280 DSG智行豪华版 国VI,4.41, 2020,2020-06,2024-06,2023-06,9.19,紧凑型车,白色,前置前驱, 2020 
宝马5系新能源 2020款 里程升级版 530Le 先锋版,8, 2020,2020-07,2024-07,2023-07,29.48,中大型车,黑色,前置后驱, 2020 
奥迪A6L 2014款 TFSI 标准型,12.3, 2015,2015-06,2023-06,2023-06,15.9,中大型车,黑色,前置前驱, 2015 
奥迪A3 2019款 Sportback 35 TFSI 进取型 国VI,4.7, 2019,2019-07,2023-07,2023-07,10.9,紧凑型车,白色,前置前驱, 2019 
奥迪A3 2022款 A3L Limousine 35 TFSI 时尚运动型,0.01, 2023,2023-03,2025-03,2024-03,17.38,紧凑型车,白色,前置前驱, 2023 
奥迪A3 2022款 A3L Limousine 35 TFSI 时尚运动型,0.01, 2023,2023-04,2025-04,2023-04,17.38,紧凑型车,白色,前置前驱, 2023 
奥迪A3 2022款 Sportback 35 TFSI 时尚运动型,0.01, 2023,2023-04,2025-04,2023-04,17.08,紧凑型车,白色,前置前驱, 2023 
奥迪A3 2022款 Sportback 35 TFSI 时尚致雅型,0.01, 2023,2023-03,2025-03,2024-03,17.08,紧凑型车,白色,前置前驱, 2023 
索纳塔 2014款 2.0L 自动豪华版,8.91, 2015,2015-03,2023-03,2023-03,5.58,中型车,白色,前置前驱, 2015 
古思特 2014款 6.6T 加长版,7, 2015,2015-07,2023-07,2023-07,248.0,大型车,黑色,前置后驱, 2015 
奔驰V级 2018款 V 260 领航版 国VI,5, 2019,2019-06,2023-06,2023-06,33.8,中大型SUV,黑色,前置后驱, 2019 
路虎卫士 2.2T 柴油 欧规版,4.7, 2016,2016-03,2024-03,2024-03,93.8,中大型SUV,白色,前置四驱, 2016 
宝马5系 2018款 530Li 尊享型 M运动套装,8.2, 2018,2018-03,2024-03,2024-03,27.98,中大型车,白色,前置后驱, 2018 
QQ冰淇淋 2022款 170km 圣代 磷酸铁锂,0.01, 2023,2023-05,2025-05,2024-05,4.16,微型车,绿色,后置后驱, 2023 
赛那SIENNA 2021款 2.5L混动 铂金版,2.6, 2022,2022-04,2024-04,2024-04,40.9,中大型车,白色,前置前驱, 2022 
别克GL8 2021款 ES陆尊 653T 智慧豪华型,0.6, 2023,2023-05,2025-05,2024-05,36.68,中大型车,香槟/棕色,前置前驱, 2023 
长安CS75 PLUS 2023款 第三代 1.5T 自动豪华型,0.3, 2023,2023-05,2025-05,2024-05,11.68,紧凑型SUV,银/灰色,前置前驱, 2023 
帕杰罗(进口) 2018款 3.8L 自动,6, 2019,2019-06,2023-06,2023-06,26.28,中大型SUV,白色,前置四驱, 2019 
雷克萨斯NX 2015款 300h 全驱 锋致版,11.8, 2014,2014-12,2023-12,2023-12,16.38,中型SUV,白色,前置四驱, 2014 
哪吒U 2021款 Pro 400 尊享驾驭版,1.7, 2022,2022-03,2024-03,2024-03,10.38,紧凑型SUV,白色,前置前驱, 2022 
普拉多(进口) 2013款 2.7L 自动,17, 2013,2013-08,2023-08,2023-08,25.38,中大型SUV,白色,前置四驱, 2013 
普拉多 2019款 3.5L 自动TX-L尊享版后挂备胎,3.24, 2019,2019-11,2023-11,2023-11,52.9,中大型SUV,白色,前置四驱, 2019 
宝马3系 2021款 325i M运动套装,5.3, 2021,2021-04,2025-04,2024-04,27.5,中型车,白色,前置后驱, 2021 
途锐 2018款 3.0TSI 荣耀典藏版,6.66, 2018,2018-09,2024-09,2023-09,33.1,中大型SUV,黑色,前置四驱, 2018 
揽胜 2018款 3.0T 美规版,7.57, 2018,2018-09,2024-09,2023-09,96.8,中大型SUV,白色,前置四驱, 2018 
途锐 2017款 3.0TSI 拓界版,7, 2018,2018-05,2024-05,2024-05,34.8,中大型SUV,香槟/棕色,前置四驱, 2018 
揽胜运动版 2022款 3.0 L6 耀黑版,2.5, 2022,2022-04,2024-04,2024-04,83.8,中大型SUV,白色,前置四驱, 2022 
途锐 2019款 3.0TSI 锐锋版 国VI,2.7, 2020,2020-05,2024-05,2024-05,48.5,中大型SUV,银/灰色,前置四驱, 2020 
奔驰S级 2019款 S 450 L 4MATIC,5.95, 2018,2018-12,2024-12,2023-12,79.5,大型车,黑色,前置四驱, 2018 
奥迪Q5 2015款 40 TFSI 舒适型,7.99, 2015,2015-08,2023-08,2023-08,16.38,中型SUV,黑色,前置四驱, 2015 
胜达 2013款 改款 2.4L 自动四驱智能型,12.6, 2014,2014-08,2023-08,2023-08,8.3,中型SUV,白色,前置四驱, 2014 
菲斯塔 2019款 280TGDi 运动版 国VI,3.1, 2020,2020-04,2024-04,2024-04,9.08,紧凑型车,银/灰色,前置前驱, 2020 
速腾 2018款 280TSI DSG豪华型,8.3, 2018,2018-09,2024-09,2023-09,8.6,紧凑型车,白色,前置前驱, 2018 
凯迪拉克XT6 2020款 28T 六座四驱豪华型,5.29, 2020,2020-01,2024-01,2024-01,28.5,中大型SUV,黑色,前置四驱, 2020 
宝马3系 2021款 325Li M运动套装,2.3, 2021,2021-07,2023-07,2023-07,27.8,中型车,红/紫色,前置后驱, 2021 
理想L9 2022款 Max,1.3, 2023,2023-01,2025-01,2024-01,42.9,大型SUV,银/灰色,双电机四驱, 2023 
揽胜 2020款 3.0T 柴油欧规版,4.2, 2020,2020-08,2024-08,2023-08,111.8,中大型SUV,银/灰色,前置四驱, 2020 
揽胜 2018款 3.0 SC V6 Vogue 传世版,1.6, 2018,2018-04,2024-04,2024-04,99.8,中大型SUV,黑色,前置四驱, 2018 
兰德酷路泽(进口) 2012款 中东版,15, 2011,2011-08,2023-08,2023-08,35.5,中大型SUV,白色,前置四驱, 2011 
奔驰GLS 2018款 3.0T 美规版,3, 2019,2019-04,2025-04,2024-04,72.8,大型SUV,黑色,前置四驱, 2019 
奔驰GLS 2018款 GLS 450 美规版,1.9, 2019,2019-03,2025-03,2024-03,73.8,大型SUV,黑色,前置四驱, 2019 
宝马5系 2017款 525Li 豪华设计套装,10.04, 2017,2017-04,2024-04,2024-04,20.6,中大型车,白色,前置后驱, 2017 
昂科威 2018款 28T 四驱精英型,8.4, 2018,2018-01,2024-01,2024-01,13.3,中型SUV,红/紫色,前置四驱, 2018 
普拉多(进口) 2013款 2.7L 中东版,13.6, 2013,2013-02,2024-02,2024-02,23.98,中大型SUV,黑色,前置四驱, 2013 
英朗 2021款 典范 1.5L 自动精英型,1.3, 2021,2021-09,2023-09,2023-09,7.18,紧凑型车,白色,前置前驱, 2021 
名爵6 2020款 1.5T 自动领潮豪华版,1, 2022,2022-06,2024-06,2023-06,9.38,紧凑型车,白色,前置前驱, 2022 
科雷嘉 2019款 SCe200 自动两驱智尚型 国V,3.72, 2019,2019-04,2025-04,2024-04,8.58,紧凑型SUV,白色,前置前驱, 2019 
骐达TIIDA 2019款 1.6L CVT智行版 国VI,3.4, 2019,2019-03,2023-03,2023-03,7.98,紧凑型车,白色,前置前驱, 2019 
途锐 2018款 3.0TSI 荣耀典藏版,8.4, 2019,2019-06,2023-06,2023-06,34.98,中大型SUV,黑色,前置四驱, 2019 
Panamera 2013款 Panamera Platinum Edition 3.6L,15.6, 2012,2012-12,2023-12,2023-12,26.88,大型车,黑色,前置后驱, 2012 
红旗E-QM5 2021款 充电 T3版 4座,0.8, 2021,2021-09,2023-09,2023-09,11.9,中型车,黑色,前置前驱, 2021 
哈弗H6 2018款 红标 运动版 1.5T 自动两驱精英型,4.4, 2019,2019-06,2023-06,2023-06,6.98,紧凑型SUV,白色,前置前驱, 2019 
帕萨特 2019款 330TSI 豪华版 国VI,5.4, 2020,2020-01,2024-01,2024-01,16.68,中型车,黑色,前置前驱, 2020 
吉姆尼进口 2015款 1.3 AT JLX导航版,8, 2017,2017-09,2023-09,2023-09,13.9,小型SUV,绿色,前置四驱, 2017 
奔驰M级 2013款 ML 350 美规版,15.2, 2013,2013-04,2024-04,2024-04,20.38,中大型SUV,白色,前置四驱, 2013 
Cayenne 2019款 Cayenne 3.0T,0.74, 2022,2022-11,2024-11,2023-11,91.3,中大型SUV,银/灰色,前置四驱, 2022 
揽胜 2020款 3.0 L6 盛世版,4.2, 2020,2020-11,2024-11,2023-11,109.8,中大型SUV,黑色,前置四驱, 2020 
揽胜运动版 2016款 3.0 SC V6 SE,13, 2017,2017-01,2024-01,2024-01,43.8,中大型SUV,白色,前置四驱, 2017 
雷克萨斯LX 2022款 600 中东版,1.6, 2023,2023-02,2025-02,2024-02,206.8,大型SUV,黑色,前置四驱, 2023 
奇骏 2017款 2.5L CVT领先版 4WD,7.9, 2018,2018-05,2024-05,2023-05,13.6,紧凑型SUV,白色,前置四驱, 2018 
哈弗H6 2017款 蓝标 运动版 1.5T 自动两驱豪华型,6.8, 2017,2017-05,2023-05,2023-05,5.6,紧凑型SUV,白色,前置前驱, 2017 
帕杰罗·劲畅 2013款 3.0L 自动四驱行政版,11.2, 2017,2017-12,2023-12,2023-12,11.78,中型SUV,白色,前置四驱, 2017 
途乐 2018款 4.0L 领英型,1.7, 2019,2019-01,2025-01,2024-01,37.5,大型SUV,白色,前置四驱, 2019 
沃尔沃XC60 2017款 T5 AWD 智远升级版,9.6, 2018,2018-01,2024-01,2024-01,15.8,中型SUV,香槟/棕色,前置四驱, 2018 
理想ONE 2021款 增程6座版,5, 2021,2021-11,2023-11,2023-11,23.8,中大型SUV,银/灰色,双电机四驱, 2021 
宝马3系 2016款 320Li 时尚型,5, 2016,2016-04,2024-04,2024-04,15.38,中型车,白色,前置后驱, 2016 
牧马人 2021款 2.0T 罗宾汉四门版,1.1, 2023,2023-02,2025-02,2024-02,48.6,中型SUV,红/紫色,前置四驱, 2023 
揽胜 2018款 3.0 SC V6 Vogue 传世版,3.01, 2019,2019-11,2023-11,2023-11,105.9,中大型SUV,红/紫色,前置四驱, 2019 
兰德酷路泽(进口) 2019款 4.0L 中东版,3.3, 2020,2020-03,2024-03,2024-03,81.8,中大型SUV,白色,前置四驱, 2020 
传祺M8 2021款 领秀系列 390T 尊贵版,4.9, 2021,2021-04,2025-04,2024-04,19.98,中大型车,黑色,前置前驱, 2021 
高尔夫 2017款 1.6L 自动舒适百万辆纪念版,6, 2017,2017-06,2023-06,2023-06,7.5,紧凑型车,白色,前置前驱, 2017 
兰德酷路泽(进口) 2012款 中东版,16.8, 2011,2011-02,2024-02,2024-02,45.8,中大型SUV,绿色,前置四驱, 2011 
探险者 2020款 EcoBoost 285 四驱风尚版 6座,3.8, 2021,2021-02,2025-02,2024-02,26.58,中大型SUV,白色,前置四驱, 2021 
凯路威 2016款 2.0TSI 两驱舒适版 9座,8.9, 2017,2017-08,2023-08,2023-08,24.2,中大型SUV,黑色,前置前驱, 2017 
别克GL8 2020款 ES陆尊 653T 舒适型,7.1, 2021,2021-01,2025-01,2024-01,29.6,中大型车,白色,前置前驱, 2021 
奔驰E级 2020款 改款 E 300 L 时尚型,5.1, 2020,2020-05,2024-05,2023-05,37.98,中大型车,黑色,前置后驱, 2020 
普拉多 2014款 4.0L 自动VX NAVI,7.7, 2014,2014-08,2023-08,2023-08,46.8,中大型SUV,白色,前置四驱, 2014 
奔驰S级 2019款 S 350 L 豪华型,5.29, 2019,2019-08,2023-08,2023-08,72.5,大型车,黑色,前置后驱, 2019 
迈锐宝 2018款 530T 自动豪华版,8.5, 2018,2018-05,2024-05,2023-05,6.68,中型车,白色,前置前驱, 2018 
奥迪Q3 2018款 30周年年型 30 TFSI 时尚型,7.3, 2018,2018-12,2024-12,2023-12,12.5,紧凑型SUV,香槟/棕色,前置前驱, 2018 
途乐Y62 2020款 4.0L 中东版,1.6, 2020,2020-12,2024-12,2023-12,44.5,大型SUV,白色,前置四驱, 2020 
凌渡 2019款 230TSI DSG风尚版 国VI,5.3, 2020,2020-01,2024-01,2024-01,10.38,紧凑型车,白色,前置前驱, 2020 
领克02 2019款 1.5T DCT两驱耀版 国VI,3.9, 2020,2020-03,2024-03,2024-03,9.9,紧凑型SUV,白色,前置前驱, 2020 
宝马3系 2018款 320Li xDrive 时尚型,5.02, 2018,2018-09,2024-09,2023-09,19.3,中型车,白色,前置四驱, 2018 
MINI 2014款 1.5T COOPER Fun,4.4, 2015,2015-01,2024-01,2024-01,9.98,小型车,白色,前置前驱, 2015 
别克GL8 2017款 ES 28T 豪华型 国V,11.2, 2017,2017-12,2023-12,2023-12,19.38,中大型车,白色,前置前驱, 2017 
宝马X3 2020款 xDrive25i M运动套装,1.83, 2020,2020-07,2024-07,2023-07,29.9,中型SUV,白色,前置四驱, 2020 
途观 2015款 1.8TSI 自动四驱豪华型,8.58, 2014,2014-09,2023-09,2023-09,8.68,紧凑型SUV,白色,前置四驱, 2014 
红旗HS7 2021款 2.0T DCT两驱智联旗享版,3.57, 2021,2021-05,2023-05,2023-05,18.98,中大型SUV,黑色,前置后驱, 2021 
Panamera 2010款 Panamera Turbo 4.8T,5.27, 2010,2010-06,2023-06,2023-06,43.0,大型车,银/灰色,前置四驱, 2010 
宝马3系GT 2019款 320i 时尚型,3.17, 2019,2019-02,2025-02,2024-02,19.0,中型车,白色,前置后驱, 2019 
发现运动版新能源 2022款 P300e 性能科技版,1.3,未上牌,,,,26.6,中型SUV,香槟/棕色,前置四驱,未上牌
迈腾 2019款 330TSI DSG 豪华型 国VI,7.8, 2020,2020-02,2024-02,2024-02,16.38,中型车,黑色,前置前驱, 2020 
Macan 2018款 Macan 2.0T,2.95, 2019,2019-02,2025-02,2024-02,43.9,中型SUV,香槟/棕色,前置四驱, 2019 
高尔夫 2019款 280TSI DSG舒适型 国VI,7, 2019,2019-10,2023-10,2023-10,9.88,紧凑型车,白色,前置前驱, 2019 
轩逸 2021款 1.6L XL CVT悦享版,3.5, 2021,2021-05,2023-05,2023-05,9.98,紧凑型车,白色,前置前驱, 2021 
